Prefix,Code,Type,Line,Station
0100,00167396,,,官湖
0100,00167397,,,官湖
0100,00167398,,,官湖
0100,00167399,,,官湖
0100,00167400,,,官湖
0100,00167401,,,官湖
0100,00167402,,,官湖
0100,00167403,,,官湖
0100,00167404,,,官湖
0100,00167405,,,官湖
0100,00167406,,,官湖
0100,00167407,,,官湖
0100,00167408,,,官湖
0100,00167409,,,官湖
0100,00167410,,,官湖
0100,00167411,,,官湖
0100,00167412,,,官湖
0100,00167413,,,官湖
0100,00167414,,,官湖
0100,00167415,,,官湖
0100,00167416,,,新沙
0100,00167417,,,新沙
0100,00167418,,,新沙
0100,00167419,,,新沙
0100,00167420,,,新沙
0100,00167421,,,新沙
0100,00167422,,,新沙
0100,00167423,,,新沙
0100,00167424,,,新沙
0100,00167425,,,新沙
0100,00167426,,,新沙
0100,00167427,,,新沙
0100,00167428,,,新沙
0100,00167429,,,新沙
0100,00167430,,,新沙
0100,00167431,,,新沙
0100,00167432,,,新沙
0100,00167433,,,新沙
0100,00167434,,,新沙
0100,00167435,,,新沙
0100,00167436,,,新沙
0100,00167437,,,新沙
0100,00167438,,,新沙
0100,00167439,,,新沙
0100,00167440,,,新沙
0100,00167441,,,新沙
0100,00167442,,,新沙
0100,00167443,,,新沙
0100,00167444,,,新沙
0100,00167445,,,新沙
0100,00167446,,,新沙
0100,00167447,,,新沙
0100,00167448,,,新沙
0100,00167449,,,新沙
0100,00167450,,,新沙
0100,00167451,,,新沙
0100,00167452,,,新沙
0100,00167453,,,新沙
0100,00167454,,,新沙
0100,00167455,,,鱼珠
0100,00167456,,,鱼珠
0100,00167457,,,鱼珠
0100,00167458,,,裕丰围
0100,00167459,,,双岗
0100,00167460,,,南海神庙
0100,00167461,,,夏园
0100,00167462,,,南岗
0100,00167463,,,沙村
0100,00167464,,,白江
0100,00167465,,,新塘
0100,00167466,,,官湖
0100,00167467,,,新沙
0100,00167468,,,双岗
0100,00167493,,,北京路
0100,00167494,,,海珠广场
0100,00167495,,,文化公园
0100,00167496,,,沙贝
0100,00167497,,,鱼珠
0100,00167498,,,鱼珠
0100,00167499,,,鱼珠
0100,00167500,,,鱼珠
0100,00167501,,,鱼珠
0100,00167502,,,鱼珠
0100,00167503,,,鱼珠
0100,00167504,,,鱼珠
0100,00167505,,,裕丰围
0100,00167506,,,裕丰围
0100,00167507,,,裕丰围
0100,00167508,,,裕丰围
0100,00167509,,,裕丰围
0100,00167510,,,裕丰围
0100,00167511,,,裕丰围
0100,00167512,,,裕丰围
0100,00167513,,,裕丰围
0100,00167514,,,裕丰围
0100,00167515,,,裕丰围
0100,00167516,,,裕丰围
0100,00167517,,,裕丰围
0100,00167518,,,裕丰围
0100,00167519,,,裕丰围
0100,00167520,,,裕丰围
0100,00167521,,,裕丰围
0100,00167522,,,裕丰围
0100,00167523,,,裕丰围
0100,00167524,,,裕丰围
0100,00167525,,,裕丰围
0100,00167526,,,裕丰围
0100,00167527,,,裕丰围
0100,00167528,,,裕丰围
0100,00167529,,,双岗
0100,00167530,,,双岗
0100,00167531,,,双岗
0100,00167532,,,双岗
0100,00167533,,,双岗
0100,00167534,,,双岗
0100,00167535,,,双岗
0100,00167536,,,双岗
0100,00167537,,,双岗
0100,00167538,,,双岗
0100,00167539,,,双岗
0100,00167540,,,双岗
0100,00167541,,,双岗
0100,00167542,,,双岗
0100,00167543,,,双岗
0100,00167544,,,双岗
0100,00167545,,,南海神庙
0100,00167546,,,南海神庙
0100,00167547,,,南海神庙
0100,00167548,,,南海神庙
0100,00167549,,,南海神庙
0100,00167550,,,南海神庙
0100,00167551,,,南海神庙
0100,00167552,,,南海神庙
0100,00167553,,,夏园
0100,00167554,,,夏园
0100,00167555,,,夏园
0100,00167556,,,夏园
0100,00167557,,,夏园
0100,00167558,,,夏园
0100,00167559,,,夏园
0100,00167560,,,夏园
0100,00167561,,,夏园
0100,00167562,,,夏园
0100,00167563,,,夏园
0100,00167564,,,夏园
0100,00167565,,,夏园
0100,00167566,,,夏园
0100,00167567,,,夏园
0100,00167568,,,夏园
0100,00167569,,,南岗
0100,00167570,,,南岗
0100,00167571,,,南岗
0100,00167572,,,南岗
0100,00167573,,,南岗
0100,00167574,,,南岗
0100,00167575,,,南岗
0100,00167576,,,南岗
0100,00167577,,,南岗
0100,00167578,,,南岗
0100,00167579,,,南岗
0100,00167580,,,南岗
0100,00167581,,,南岗
0100,00167582,,,南岗
0100,00167583,,,南岗
0100,00167584,,,南岗
0100,00167585,,,沙村
0100,00167586,,,沙村
0100,00167587,,,沙村
0100,00167588,,,沙村
0100,00167589,,,沙村
0100,00167590,,,沙村
0100,00167591,,,沙村
0100,00167592,,,沙村
0100,00167593,,,沙村
0100,00167594,,,沙村
0100,00167595,,,沙村
0100,00167596,,,沙村
0100,00167597,,,沙村
0100,00167598,,,沙村
0100,00167599,,,沙村
0100,00167600,,,沙村
0100,00167601,,,白江
0100,00167602,,,白江
0100,00167603,,,白江
0100,00167604,,,白江
0100,00167605,,,白江
0100,00167606,,,白江
0100,00167607,,,白江
0100,00167608,,,白江
0100,00167609,,,白江
0100,00167610,,,白江
0100,00167611,,,白江
0100,00167612,,,白江
0100,00167613,,,白江
0100,00167614,,,白江
0100,00167615,,,白江
0100,00167616,,,白江
0100,00167617,,,新塘
0100,00167618,,,新塘
0100,00167619,,,新塘
0100,00167620,,,新塘
0100,00167621,,,新塘
0100,00167622,,,新塘
0100,00167623,,,新塘
0100,00167624,,,新塘
0100,00167625,,,新塘
0100,00167626,,,新塘
0100,00167627,,,新塘
0100,00167628,,,新塘
0100,00167629,,,新塘
0100,00167630,,,新塘
0100,00167631,,,新塘
0100,00167632,,,新塘
0100,00167633,,,新塘
0100,00167634,,,新塘
0100,00167635,,,新塘
0100,00167636,,,新塘
0100,00167637,,,新塘
0100,00167638,,,新塘
0100,00167639,,,新塘
0100,00167640,,,新塘
0100,00167641,,,官湖
0100,00167642,,,官湖
0100,00167643,,,官湖
0100,00167644,,,官湖
0100,00167645,,,官湖
0100,00167646,,,官湖
0100,00167647,,,官湖
0100,00167648,,,官湖
0100,00167649,,,官湖
0100,00167650,,,官湖
0100,00167651,,,官湖
0100,00167652,,,官湖
0100,00167653,,,官湖
0100,00167654,,,官湖
0100,00167655,,,官湖
0100,00167656,,,官湖
0100,00167657,,,新沙
0100,00167658,,,新沙
0100,00167659,,,新沙
0100,00167660,,,新沙
0100,00167661,,,新沙
0100,00167662,,,新沙
0100,00167663,,,新沙
0100,00167664,,,新沙
0100,00167665,,,东山口
0100,00167666,,,浔峰岗
0100,00167667,,,横沙
0100,00167668,,,黄沙
0100,00167669,,,东湖
0100,00167670,,,东山口
0100,00167671,,,区庄
0100,00167672,,,沙河顶
0100,00167673,,,天平架
0100,00167674,,,天河客运站
0100,00167675,,,长湴
0100,00167676,,,柯木塱
0100,00167677,,,苏元
0100,00167678,,,团一大广场
0100,00167679,,,横沙
0100,00167680,,,植物园
0100,00167681,,,高塘石
0100,00167682,,,黄陂
0100,00167683,,,萝岗
0100,00167684,,,香雪
0100,00167685,,,海珠广场
0100,00167686,,,海珠广场
0100,00167687,,,海珠广场
0100,00167688,,,海珠广场
0100,00167689,,,海珠广场
0100,00167690,,,海珠广场
0100,00167691,,,一德路
0100,00167692,,,浔峰岗
0100,00167693,,,浔峰岗
0100,00167697,,,横沙
0100,00167698,,,横沙
0100,00167702,,,沙贝
0100,00167706,,,河沙
0100,00167710,,,坦尾
0100,00167711,,,坦尾
0100,00167715,,,如意坊
0100,00167716,,,如意坊
0100,00167720,,,黄沙
0100,00167724,,,文化公园
0100,00167725,,,文化公园
0100,00167726,,,文化公园
0100,00167731,,,一德路
0100,00167735,,,海珠广场
0100,00167736,,,海珠广场
0100,00167740,,,北京路
0100,00167744,,,团一大广场
0100,00167748,,,东湖
0100,00167752,,,东山口
0100,00167753,,,东山口
0100,00167757,,,区庄
0100,00167761,,,黄花岗
0100,00167762,,,黄花岗
0100,00167766,,,沙河顶
0100,00167767,,,沙河顶
0100,00167774,,,天平架
0100,00167778,,,天河客运站
0100,00167779,,,天河客运站
0100,00167783,,,长湴
0100,00167784,,,长湴
0100,00167788,,,天河客运站
0100,00167789,,,天河客运站
0100,00167790,,,天河客运站
0100,00167791,,,天河客运站
0100,00167792,,,天河客运站
0100,00167793,,,天河客运站
0100,00167794,,,天河客运站
0100,00167795,,,天河客运站
0100,00167796,,,天河客运站
0100,00167797,,,天河客运站
0100,00167798,,,天河客运站
0100,00167799,,,天河客运站
0100,00167800,,,天河客运站
0100,00167801,,,天河客运站
0100,00167802,,,天河客运站
0100,00167803,,,天河客运站
0100,00167804,,,天河客运站
0100,00167805,,,长湴
0100,00167806,,,长湴
0100,00167807,,,长湴
0100,00167808,,,长湴
0100,00167809,,,长湴
0100,00167810,,,长湴
0100,00167811,,,长湴
0100,00167812,,,长湴
0100,00167813,,,长湴
0100,00167814,,,长湴
0100,00167815,,,长湴
0100,00167816,,,长湴
0100,00167817,,,长湴
0100,00167818,,,长湴
0100,00167819,,,长湴
0100,00167820,,,长湴
0100,00167821,,,长湴
0100,00167822,,,长湴
